Ticker,$VolumePctl,SharpePctl,$VolxSharpe,Parkinson,ParkinsonPctl
HOOD,0.996,0.99,0.986,0.55,0.14
BE,0.994,0.991,0.985,1.13,0.95
SNDK,0.992,0.993,0.985,1.03,0.83
PLTR,1.0,0.981,0.981,0.44,0.12
IREN,0.996,0.983,0.979,1.18,0.85
WDC,0.987,0.987,0.974,0.69,0.96
APH,0.989,0.979,0.968,0.31,0.66
QBTS,0.98,0.983,0.963,1.35,0.47
Q,0.963,0.999,0.962,0.84,0.14
GE,0.984,0.974,0.958,0.27,0.65
NET,0.975,0.977,0.953,0.46,0.68
CLS,0.97,0.981,0.952,0.69,0.68
GOOGL,0.998,0.952,0.95,0.28,0.65
GOOG,0.998,0.951,0.949,0.27,0.63
NBIS,0.993,0.956,0.949,0.86,0.46
MCK,0.967,0.979,0.947,0.26,0.62
RKLB,0.974,0.971,0.946,0.74,0.08
SOFI,0.993,0.952,0.945,0.7,0.9
LRCX,0.991,0.953,0.944,0.39,0.73
CAH,0.958,0.985,0.944,0.3,0.84
WBD,0.979,0.961,0.941,0.4,0.19
C,0.987,0.951,0.939,0.3,0.77
APP,0.994,0.943,0.937,0.52,0.1
SNOW,0.986,0.949,0.936,0.4,0.58
DAVE,0.953,0.979,0.933,0.94,0.69
LITE,0.98,0.95,0.931,0.72,0.84
CRWV,0.994,0.937,0.931,0.7,0.02
TEL,0.957,0.972,0.93,0.25,0.64
CIEN,0.96,0.969,0.93,0.51,0.81
GLW,0.954,0.975,0.93,0.36,0.88
KLAC,0.989,0.936,0.926,0.38,0.82
HWM,0.944,0.98,0.925,0.33,0.67
JPM,0.994,0.93,0.924,0.23,0.69
INSM,0.94,0.983,0.924,0.46,0.76
RBLX,0.978,0.943,0.922,0.56,0.89
RTX,0.969,0.949,0.92,0.21,0.42
AVGO,0.998,0.922,0.92,0.39,0.53
IBM,0.987,0.931,0.919,0.36,0.91
GS,0.991,0.926,0.918,0.28,0.68
KTOS,0.924,0.993,0.918,0.62,0.76
COR,0.941,0.975,0.917,0.24,0.66
ONDS,0.96,0.953,0.915,1.23,0.14
CRDO,0.979,0.933,0.913,0.89,0.75
AEM,0.947,0.961,0.91,0.39,0.9
GH,0.921,0.988,0.91,0.62,0.6
CIFR,0.99,0.918,0.909,1.42,0.98
MU,0.998,0.91,0.908,0.47,0.7
CSCO,0.99,0.917,0.908,0.22,0.74
WELL,0.953,0.951,0.906,0.27,0.88
TPR,0.93,0.973,0.905,0.33,0.59
APLD,0.978,0.923,0.903,1.1,0.5
CAT,0.993,0.905,0.899,0.31,0.86
CRWD,0.986,0.911,0.898,0.33,0.04
SHOP,0.995,0.902,0.897,0.48,0.7
GILD,0.981,0.914,0.897,0.32,0.86
TTWO,0.949,0.943,0.895,0.23,0.2
TJX,0.961,0.928,0.892,0.17,0.36
SPOT,0.995,0.894,0.89,0.39,0.55
ASML,0.992,0.896,0.889,0.23,0.33
SANM,0.932,0.954,0.889,0.57,0.93
MP,0.969,0.916,0.888,0.84,0.7
BK,0.927,0.958,0.888,0.21,0.62
IDXX,0.955,0.93,0.888,0.27,0.44
NFLX,0.997,0.89,0.887,0.27,0.59
BWXT,0.951,0.932,0.886,0.44,0.89
LEU,0.928,0.954,0.885,1.12,0.88
FIX,0.941,0.939,0.884,0.46,0.66
ZS,0.936,0.943,0.883,0.3,0.2
MTSR,0.972,0.907,0.882,0.29,0.08
JOBY,0.962,0.916,0.881,0.8,0.58
XEL,0.964,0.911,0.878,0.24,0.83
STRL,0.932,0.942,0.878,0.69,0.84
B,0.933,0.941,0.878,0.38,0.82
EXC,0.962,0.912,0.877,0.22,0.74
CCJ,0.954,0.918,0.876,0.56,0.89
AMD,0.999,0.876,0.875,0.48,0.83
ROIV,0.907,0.963,0.873,0.37,0.82
KGC,0.897,0.972,0.872,0.43,0.76
STRC,0.872,0.996,0.869,0.06,0.03
TTMI,0.881,0.986,0.869,0.6,0.96
BMNR,0.992,0.876,0.869,0.75,0.05
ASTS,0.961,0.903,0.868,0.93,0.55
DASH,0.984,0.882,0.868,0.41,0.74
MS,0.972,0.893,0.868,0.24,0.62
IBKR,0.933,0.929,0.867,0.39,0.69
JNJ,0.987,0.878,0.867,0.16,0.32
WFC,0.985,0.879,0.866,0.28,0.72
MSFT,0.999,0.867,0.866,0.19,0.5
GEV,0.993,0.87,0.864,0.49,0.6
CNP,0.893,0.967,0.864,0.18,0.23
PLTU,0.952,0.907,0.863,0.86,0.15
FN,0.966,0.893,0.863,0.54,0.58
AU,0.888,0.971,0.862,0.41,0.87
SEI,0.919,0.937,0.861,0.93,0.76
CDE,0.942,0.912,0.859,0.75,0.93
BAC,0.995,0.863,0.859,0.22,0.67
IONQ,0.983,0.873,0.858,0.96,0.37
HUT,0.966,0.888,0.858,1.2,0.88
CME,0.946,0.907,0.858,0.22,0.76
ACHR,0.967,0.885,0.856,0.81,0.38
EOSE,0.911,0.939,0.855,1.13,0.76
QUBT,0.933,0.914,0.853,1.1,0.26
GFI,0.892,0.954,0.851,0.46,0.9
TLN,0.928,0.915,0.849,0.52,0.49
IDCC,0.86,0.987,0.849,0.59,1.0
EVRG,0.88,0.965,0.849,0.15,0.13
ALNY,0.955,0.888,0.848,0.43,0.71
FOXA,0.911,0.931,0.848,0.32,0.89
CYBR,0.881,0.959,0.845,0.21,0.02
QS,0.943,0.895,0.844,1.18,0.86
JBL,0.917,0.919,0.843,0.4,0.9
CVS,0.951,0.885,0.842,0.28,0.36
TKO,0.896,0.939,0.841,0.23,0.02
NXT,0.894,0.939,0.839,0.56,0.6
SCHW,0.943,0.89,0.839,0.22,0.42
LQDA,0.873,0.96,0.838,0.9,0.98
TSLA,1.0,0.836,0.836,0.45,0.25
NRG,0.926,0.903,0.836,0.41,0.52
PL,0.854,0.976,0.834,0.72,0.24
HCA,0.964,0.865,0.834,0.32,0.71
EQT,0.943,0.883,0.833,0.42,0.8
RPRX,0.886,0.94,0.833,0.25,0.56
WMT,0.986,0.842,0.83,0.19,0.51
W,0.938,0.885,0.83,0.55,0.34
IAUM,0.849,0.975,0.828,0.17,0.96
IAG,0.895,0.924,0.827,0.47,0.46
SOUN,0.972,0.85,0.826,0.85,0.31
DLTR,0.949,0.87,0.826,0.37,0.41
AEP,0.926,0.892,0.826,0.17,0.3
ETR,0.878,0.941,0.826,0.23,0.58
SGI,0.863,0.956,0.825,0.26,0.35
PRIM,0.922,0.895,0.825,0.53,0.84
FLEX,0.903,0.912,0.824,0.48,0.85
CHRW,0.915,0.898,0.822,0.29,0.76
GRAL,0.858,0.957,0.821,1.0,0.47
ORLY,0.964,0.852,0.821,0.27,0.91
ELAN,0.904,0.906,0.819,0.34,0.26
TER,0.957,0.855,0.818,0.45,0.83
NTRA,0.937,0.873,0.818,0.4,0.37
BBIO,0.847,0.965,0.817,0.53,0.55
INDV,0.823,0.991,0.816,0.48,0.74
NVTS,0.944,0.864,0.816,1.27,0.71
CW,0.866,0.942,0.816,0.34,0.69
EW,0.941,0.866,0.815,0.36,0.98
LAES,0.869,0.938,0.815,1.6,0.6
OPEN,0.966,0.843,0.814,1.01,0.47
NOK,0.924,0.88,0.813,0.46,0.98
TD,0.82,0.991,0.813,0.15,0.46
FYBR,0.835,0.971,0.811,0.05,0.32
WRB,0.895,0.906,0.811,0.23,0.83
FUTU,0.951,0.853,0.811,0.56,0.6
AGNC,0.922,0.879,0.81,0.2,0.7
PSTG,0.918,0.882,0.81,0.39,0.42
XMTR,0.896,0.904,0.81,0.68,0.55
VRSN,0.897,0.902,0.809,0.39,0.98
KRMN,0.816,0.992,0.809,0.48,0.19
CELH,0.908,0.889,0.807,0.42,0.23
AXP,0.957,0.843,0.807,0.22,0.49
AXON,0.973,0.829,0.807,0.36,0.23
INTC,0.996,0.81,0.807,0.51,0.62
HSBC,0.828,0.975,0.807,0.13,0.76
RL,0.907,0.889,0.806,0.28,0.22
AER,0.874,0.922,0.806,0.21,0.43
AZN,0.939,0.858,0.806,0.19,0.69
AZO,0.969,0.832,0.806,0.3,0.95
CRS,0.871,0.924,0.805,0.49,0.7
AMPX,0.824,0.976,0.804,1.08,0.4
HTZ,0.977,0.822,0.803,0.97,0.75
NVT,0.91,0.881,0.802,0.38,0.68
SGHC,0.812,0.986,0.801,0.51,0.66
VTIP,0.804,0.996,0.801,0.01,0.1
F,0.978,0.818,0.8,0.3,0.69
NVDA,1.0,0.799,0.799,0.33,0.44
APTV,0.895,0.893,0.799,0.28,0.26
BA,0.991,0.806,0.799,0.26,0.13
MNST,0.937,0.849,0.796,0.21,0.25
NI,0.891,0.893,0.796,0.25,0.85
NLY,0.882,0.901,0.795,0.21,0.76
HII,0.851,0.934,0.795,0.33,0.68
WEC,0.892,0.891,0.795,0.18,0.51
EXE,0.941,0.844,0.794,0.41,0.96
DB,0.805,0.986,0.794,0.17,0.64
ENB,0.896,0.885,0.793,0.14,0.08
UI,0.815,0.973,0.793,0.48,0.48
ANET,0.987,0.803,0.793,0.43,0.63
HL,0.895,0.885,0.792,0.63,0.84
